provincia,poblacion,masde60
Total,45376763,7735317
Buenos Aires,17541141,2954757
CABA,3075646,846682
Córdoba,3760450,675907
Santa Fe,3536418,638802
Mendoza,1990338,333292
Tucumán,1694656,252680
Entre Ríos,1385961,236767
Salta,1424397,187917
Misiones,1261294,173519
Corrientes,1120801,172618
Chaco,1204541,167932
Santiago del Estero,978313,133487
Río Negro,747610,125296
San Juan,781217,120881
Jujuy,770881,107422
Neuquén,664057,99560
Formosa,605193,97022
Chubut,618994,89563
San Luis,508328,79429
La Pampa,358428,67981
Catamarca,415438,59000
La Rioja,393531,51691
Santa Cruz,365698,41675
Tierra del Fuego,173432,20537
